,ticker,time,scraped_at,open,high,low,volume,average_volume_2_weeks,average_volume,average_volume_30_days,high_52_weeks,high_52_weeks_date,low_52_weeks,low_52_weeks_date,dividend_yield,shares_float,market_cap,pb_ratio,pe_ratio,shares_outstanding,industry,num_employees,year_founded,payable_date,ex_dividend_date
0,ARTV,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,11.16,11.37,10.5286,152881.0,210228.242741,210228.242741,353791.695624,14.53,2026-04-20,1.47,2025-06-27,,12146737.062447,262243900.53,2.52509,-3.09,24716673.0,Biotechnology,104.0,2019.0,,
7,UNIT,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,11.54,11.655,11.23,3344213.0,2907553.393324,2907553.393324,2641248.68526,12.1752,2026-04-23,3.995,2025-06-18,,221126507.109,2748146577.436737,7.20207,2.352024,239073212.478185,Real Estate Investment Trusts,,2014.0,2024-06-28 00:00:00,2024-06-14 00:00:00
15,CVGW,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,27.64,28.16,27.6,324266.0,367789.38897,367789.38897,351362.707804,28.98,2026-04-28,18.4,2025-11-24,2.894356,16646417.4415,501011023.0,2.40231,30.632827,17874100.0,Agricultural Commodities/Milling,1969.0,1924.0,2026-04-29 00:00:00,2026-04-24 00:00:00
19,ACHV,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,4.39,4.6,4.315,858691.0,895581.570233,895581.570233,1707749.22456,6.025,2026-01-16,2.0,2025-06-27,,73129754.604,469151878.799542,10.8604,-3.52,102659054.441913,Pharmaceuticals: Major,28.0,1991.0,,
20,MGNX,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,3.2,3.3,3.11,621573.0,527836.138994,527836.138994,752514.68271,3.88,2026-04-10,1.185,2025-06-27,,61390221.7461,199578714.0,3.64481,-2.7,63560100.0,Pharmaceuticals: Major,293.0,2000.0,,
21,TFSL,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,14.92,15.035,14.78,755977.0,725850.038019,725850.038019,715698.211369,15.58,2026-05-04,12.535,2025-06-17,7.573727,279226223.197,4212773565.0,2.57907,45.4324,280571000.0,Savings Banks,958.0,1938.0,2026-03-25 00:00:00,2026-03-11 00:00:00
23,LXEO,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,5.88,6.03,5.74,416492.0,652913.678628,652913.678628,931141.260095,10.99,2025-12-23,2.43,2025-05-15,,59136373.36107,441558937.2,1.7165,-2.65,74087070.0,Biotechnology,59.0,2017.0,,
33,TLYS,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,4.5774,4.6994,4.4,163551.0,340249.859328,340249.859328,438254.396814,5.54,2026-04-21,0.571,2025-05-15,,22429222.9845,102118083.894273,1.62496,-7.8,23182311.894273,Apparel/Footwear Retail,5123.0,1982.0,2021-12-15 00:00:00,2021-12-06 00:00:00
34,MDXG,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,3.59,3.73,3.59,1918063.0,2143746.240405,2143746.240405,1846617.24558,7.99,2025-07-31,3.025,2026-04-29,,116334571.192,545142360.0,2.21311,17.670093,148946000.0,Medical Specialties,808.0,1985.0,,
43,FFIC,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,15.73,16.21,15.715,154875.0,225001.403955,225001.403955,223171.565303,17.79,2025-12-19,11.125,2025-06-18,5.630198,31451502.9592,547389966.267755,0.759393,15.692771,33883625.271913,Regional Banks,567.0,1994.0,2026-04-24 00:00:00,2026-04-10 00:00:00
48,NCMI,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,3.44,3.49,3.4,231638.0,233762.919952,233762.919952,431898.019222,5.88,2025-05-06,2.92,2026-04-02,3.560831,64776894.7328,324149442.58902,0.838044,-32.61,93280415.133531,Advertising/Marketing Services,248.0,2006.0,2026-03-23 00:00:00,2026-03-09 00:00:00
49,BFST,2026-05-05 19:38:20.384385,2026-05-05 19:38:20.384385,27.03,27.46,26.85,182734.0,184775.557423,184775.557423,195051.276215,30.32,2026-02-04,22.515,2025-06-20,2.145764,30682125.794,896847710.0,0.867747,9.611692,32678000.0,Regional Banks,842.0,2006.0,2026-05-29 00:00:00,2026-05-15 00:00:00
